"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Keller, Mitch",656605,"PIT","FF","4-Seam Fastball",0.3,3,"864",30.3,"197","0.266","0.424","0.342",23.8,25.4,18.9,"0.247","0.409","0.326",41.4
"Bello, Brayan",678394,"BOS","CH","Changeup",0,0,"730",26.9,"197","0.177","0.354","0.271",36.9,26.9,23.5,"0.213","0.37","0.287",30.2
"Gallen, Zac",668678,"AZ","CU","Curveball",2.2,15,"695",27.7,"196","0.148","0.23","0.207",39.2,38.8,25.2,"0.175","0.234","0.212",30.6
"Gray, Sonny",543243,"STL","ST","Sweeper",1.1,6,"501",20.2,"196","0.142","0.205","0.182",44.4,57.1,27.9,"0.148","0.253","0.187",26.9
"Keller, Mitch",656605,"PIT","SI","Sinker",-0.2,-1,"621",21.8,"194","0.253","0.376","0.325",12.5,19.6,23.3,"0.215","0.347","0.291",43.7
"Hader, Josh",623352,"HOU","SI","Sinker",0.3,3,"832",71.4,"194","0.192","0.372","0.291",32.5,35.1,23.9,"0.169","0.322","0.26",37.1
"Gray, Jon",592351,"TEX","SL","Slider",1.2,8,"711",43.9,"194","0.213","0.344","0.27",33.4,25.3,21.6,"0.241","0.379","0.288",33.1
"Herz, DJ",687792,"WSH","FF","4-Seam Fastball",1,9,"860",54.2,"193","0.222","0.317","0.302",30.5,32.1,22.7,"0.195","0.324","0.283",41.5
"Gil, Luis",661563,"NYY","SL","Slider",1.3,9,"691",25.9,"193","0.171","0.312","0.263",31.4,29,23.6,"0.193","0.331","0.281",33.3
"Jones, Jared",683003,"PIT","SL","Slider",1,7,"667",34.9,"193","0.207","0.352","0.278",37.3,31.1,25.2,"0.204","0.321","0.261",40.3
"Manaea, Sean",640455,"NYM","SI","Sinker",1.3,10,"752",25.1,"193","0.231","0.337","0.312",19.6,19.2,18.5,"0.271","0.452","0.358",51.5
"Flaherty, Jack",656427,"LAD","SL","Slider",-0.3,-2,"746",29,"192","0.222","0.455","0.331",36.3,27.1,20.8,"0.218","0.378","0.289",36.8
"Gomber, Austin",596295,"COL","CU","Curveball",0.1,0,"587",22.4,"190","0.22","0.368","0.272",26.9,28.9,19.2,"0.229","0.358","0.264",33.3
"Irvin, Jake",663623,"WSH","SI","Sinker",-1.2,-8,"632",20.7,"190","0.324","0.494","0.403",15.2,11.6,15.8,"0.322","0.481","0.384",39.2
"Dunning, Dane",641540,"TEX","SI","Sinker",0.2,2,"639",37.8,"189","0.274","0.439","0.363",13.2,16.4,16.4,"0.297","0.522","0.395",55.6
"Lugo, Seth",607625,"KC","FF","4-Seam Fastball",0.9,7,"748",24,"189","0.233","0.39","0.304",17.9,22.2,19,"0.248","0.435","0.327",43.1
"Gibson, Kyle",502043,"STL","ST","Sweeper",1,6,"569",20.6,"189","0.201","0.314","0.259",41.3,37,25.8,"0.198","0.288","0.253",26.2
"Montgomery, Jordan",656756,"AZ","SI","Sinker",-1.9,-11,"597",30.9,"188","0.376","0.582","0.447",15.8,7.4,13.1,"0.35","0.539","0.421",45.1
"King, Michael",650633,"SD","SI","Sinker",0.5,4,"806",27.8,"188","0.2","0.376","0.293",18.9,27.7,24.6,"0.224","0.402","0.309",38.1
"Nola, Aaron",605400,"PHI","SI","Sinker",0,0,"656",20.6,"188","0.315","0.478","0.357",12.8,20.2,22.9,"0.275","0.435","0.323",44.7
