antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Hitters With Good Contact', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.028690012970168613,0.4316472114137484,0.013229571984435798,0.46112115732368897,1.0682824888718876,1.0,0.0008456078904382422,1.054694939893279,0.06580598268577798,0.029589231840334185,0.05185854015646778,0.2458850978926137
"frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)', 'Ball Preference_Selective / Moderate'})",frozenset({'events_single'}),0.05302204928664073,0.4316472114137484,0.02443579766536965,0.4608610567514677,1.0676799121255456,1.0,0.0015489779473488521,1.0541861160347534,0.06693894253255397,0.05309435238417314,0.051400900856644435,0.2587358168372723
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.03185473411154345,0.4316472114137484,0.01457846952010376,0.4576547231270358,1.0602517774367326,1.0,0.0008284623705296212,1.0479537903662417,0.058697597764649154,0.032474286374667746,0.04575945123446964,0.24571438079428715
frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)'}),frozenset({'events_single'}),0.06443579766536965,0.4316472114137484,0.029364461738002594,0.45571658615136873,1.055761682460052,1.0,0.0015509293605252654,1.0442221352427878,0.0564542155635751,0.06291685193419297,0.042349356281846814,0.26187271615260743
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.04409857328145266,0.4316472114137484,0.020025940337224383,0.45411764705882346,1.0520574095022621,1.0,0.0009909141529605078,1.0411635135739523,0.05176425925014564,0.04394353369763205,0.03953607001906178,0.2502559389140271
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Ball Preference_Selective / Moderate'})",frozenset({'events_single'}),0.07859922178988327,0.4316472114137484,0.03507133592736705,0.4462046204620462,1.0337252475247523,1.0,0.0011442010224732083,1.0262866206295247,0.03540800415800397,0.07380718419041381,0.025613332670555877,0.2637273102310231
frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)'}),frozenset({'events_single'}),0.09219195849546044,0.4316472114137484,0.04051880674448768,0.4395047833427124,1.0182036897753344,1.0,0.0007244049451501436,1.01401898124274,0.019693854896751163,0.08383426363246027,0.013825166492996949,0.26668748782520235
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.3866147859922179,0.4316472114137484,0.1695460440985733,0.438539989264627,1.0159685448408275,1.0,0.0026648498337093207,1.0122765249867942,0.025624286251586702,0.2613563659628919,0.012127639714804668,0.41566422540154424
"frozenset({'Ball Preference_Selective / Moderate', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.23102464332036315,0.4316472114137484,0.10044098573281453,0.4347630810689423,1.0072185562023872,1.0,0.0007198426757239196,1.0055125020161217,0.009319963288879327,0.17864722709236877,0.005482280931434256,0.333727694380625
frozenset({'Ball Preference_Selective / Moderate'}),frozenset({'events_single'}),0.8414007782101167,0.4316472114137484,0.36394293125810634,0.43254408681711676,1.0020777972836448,1.0,0.0007546316623516791,1.0015805199708603,0.013073765245789563,0.4003309935513325,0.00157802586945916,0.6378465626393276
"frozenset({'Ball Preference_Selective / Moderate', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_single'}),0.5062516212710765,0.4316472114137484,0.21888456549935148,0.4323631891781103,1.0016587105057784,1.0,0.00036246490400224096,1.001261330750071,0.003353861628034831,0.30442311855112203,0.0012597417990027704,0.46972726766597817
frozenset({'Hitter_Types_Balanced Hitters'}),frozenset({'events_single'}),0.47294422827496757,0.4316472114137484,0.2043579766536965,0.4320974111452392,1.0010429807481351,1.0,0.00021291936457951133,1.0007927411149835,0.0019768193966755152,0.2918426316959324,0.0007921131743026115,0.4527674555726196
frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'}),frozenset({'events_single'}),0.6015045395590143,0.4316472114137484,0.25976653696498053,0.4318613075728825,1.0004959980128978,1.0,0.00012877981162129348,1.0003768378425688,0.0012440596444494264,0.33588247132219756,0.0003766958893025667,0.5168320960941335
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_single'}),0.09525291828793775,0.4316472114137484,0.04088197146562905,0.429193899782135,0.9943163964303668,1.0,-0.00023368509238091278,0.9957020227522497,-0.00627822380501157,0.08411614005123824,-0.004316529593733275,0.2619527191218367
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.2823865110246433,0.4316472114137484,0.12093385214007782,0.4282564762079736,0.9921446609265253,1.0,-0.000957497884567185,0.9940694820934987,-0.010912743545050955,0.20390132960111965,-0.0059658987760209635,0.3542123727193714
